id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_30_cmd_window_info","Cmd_window_info → _get_window_rect","Cmd_window_info → _get_window_rect","intra_community",3,"['comm_12']","Function:gui_monitor/cli.py:cmd_window_info","Function:gui_monitor/core/window.py:_get_window_rect"
"proc_31_cmd_window_info","Cmd_window_info → _get_class_name","Cmd_window_info → _get_class_name","intra_community",3,"['comm_12']","Function:gui_monitor/cli.py:cmd_window_info","Function:gui_monitor/core/window.py:_get_class_name"
"proc_32_cmd_foreground","Cmd_foreground → _get_window_title","Cmd_foreground → _get_window_title","intra_community",3,"['comm_12']","Function:gui_monitor/cli.py:cmd_foreground","Function:gui_monitor/core/window.py:_get_window_title"
"proc_33_cmd_foreground","Cmd_foreground → _get_window_rect","Cmd_foreground → _get_window_rect","intra_community",3,"['comm_12']","Function:gui_monitor/cli.py:cmd_foreground","Function:gui_monitor/core/window.py:_get_window_rect"
"proc_34_cmd_foreground","Cmd_foreground → _get_class_name","Cmd_foreground → _get_class_name","intra_community",3,"['comm_12']","Function:gui_monitor/cli.py:cmd_foreground","Function:gui_monitor/core/window.py:_get_class_name"
"proc_35_cmd_serve","Cmd_serve → Get_screen_size","Cmd_serve → Get_screen_size","intra_community",3,"['comm_3']","Function:gui_monitor/cli.py:cmd_serve","Function:gui_monitor/utils/dpi.py:get_screen_size"
"proc_36_cmd_serve","Cmd_serve → Get_dpi_scale","Cmd_serve → Get_dpi_scale","intra_community",3,"['comm_3']","Function:gui_monitor/cli.py:cmd_serve","Function:gui_monitor/utils/dpi.py:get_dpi_scale"
"proc_37_cmd_chat_agent","Cmd_chat_agent → _ensure_dirs","Cmd_chat_agent → _ensure_dirs","intra_community",3,"['comm_11']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/chat_agent.py:_ensure_dirs"
"proc_38_cmd_chat_agent","Cmd_chat_agent → Load_style_profile","Cmd_chat_agent → Load_style_profile","intra_community",3,"['comm_11']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/chat_agent.py:load_style_profile"
"proc_39_cmd_chat_learn","Cmd_chat_learn → _ensure_dirs","Cmd_chat_learn → _ensure_dirs","intra_community",3,"['comm_11']","Function:gui_monitor/cli.py:cmd_chat_learn","Function:gui_monitor/chat_agent.py:_ensure_dirs"
"proc_40_screenshot_chat","Screenshot_chat → _get_window_title","Screenshot_chat → _get_window_title","cross_community",3,"['comm_11','comm_12']","Function:gui_monitor/chat_agent.py:screenshot_chat","Function:gui_monitor/core/window.py:_get_window_title"
"proc_41_screenshot_chat","Screenshot_chat → _get_window_rect","Screenshot_chat → _get_window_rect","cross_community",3,"['comm_11','comm_12']","Function:gui_monitor/chat_agent.py:screenshot_chat","Function:gui_monitor/core/window.py:_get_window_rect"
